value,date
185.97,20200102
186.58,20200103
193.28,20200107
190.86,20200108
192.67,20200109
190.72,20200110
191.17,20200113
189.86,20200114
188.88,20200115
189.2,20200116
189.76,20200117
190.57,20200120
192.0,20200121
190.96,20200122
191.24,20200123
192.5,20200124
193.49,20200127
196.72,20200128
196.59,20200129
196.65,20200130
197.16,20200131
198.62,20200203
196.77,20200204
194.25,20200205
193.04,20200206
194.37,20200207
196.92,20200210
197.24,20200211
197.12,20200212
196.1,20200213
198.02,20200214
198.77,20200217
199.16,20200218
201.66,20200219
204.03,20200220
206.23,20200221
209.33,20200224
213.77,20200225
210.24,20200226
208.0,20200227
209.32,20200228
203.18,20200302
200.7,20200303
201.55,20200304
203.43,20200305
205.32,20200306
206.94,20200309
203.78,20200310
202.58,20200311
203.03,20200312
195.14,20200313
196.31,20200316
187.64,20200317
199.83,20200318
196.29,20200319
201.08,20200320
203.73,20200323
209.18,20200324
219.02,20200325
217.94,20200326
220.69,20200327
213.86,20200330
212.97,20200331
214.5,20200401
211.38,20200402
217.88,20200403
219.87,20200406
223.92,20200407
221.23,20200408
221.46,20200409
225.54,20200410
224.58,20200414
233.33,20200415
229.43,20200416
231.51,20200417
227.94,20200420
225.11,20200421
225.94,20200422
229.55,20200423
234.96,20200424
232.5,20200427
229.91,20200428
227.57,20200429
228.94,20200430
226.25,20200504
228.84,20200505
229.09,20200506
228.52,20200507
231.01,20200508
230.47,20200511
230.64,20200512
230.39,20200513
231.32,20200514
235.31,20200515
235.07,20200518
235.48,20200519
232.71,20200520
233.94,20200521
229.3,20200522
231.34,20200525
230.92,20200526
226.13,20200527
220.67,20200528
222.19,20200529
222.49,20200601
220.78,20200602
220.14,20200603
214.5,20200604
216.31,20200605
212.28,20200608
213.04,20200609
213.04,20200609
217.35,20200610
218.98,20200612
219.01,20200615
216.73,20200616
215.99,20200617
219.17,20200618
218.85,20200619
221.64,20200622
224.71,20200623
223.56,20200624
223.68,20200625
223.79,20200626
223.06,20200629
225.88,20200630
226.3,20200701
225.43,20200702
225.9,20200703
226.65,20200706
227.55,20200707
228.37,20200708
230.98,20200709
230.05,20200710
229.83,20200713
229.91,20200714
229.23,20200715
226.96,20200716
229.12,20200717
228.16,20200720
227.66,20200721
229.92,20200722
229.51,20200723
229.84,20200724
232.55,20200727
234.4,20200728
234.2,20200729
235.89,20200730
236.33,20200731
234.78,20200803
236.13,20200804
237.6,20200805
244.59,20200806
247.5,20200807
243.58,20200810
245.78,20200811
233.16,20200812
233.27,20200813
232.39,20200814
232.78,20200817
235.17,20200818
238.27,20200819
233.95,20200820
230.27,20200821
229.93,20200824
232.96,20200825
228.25,20200826
231.63,20200827
230.61,20200828
230.61,20200828
232.73,20200831
232.36,20200901
232.76,20200902
232.82,20200903
232.95,20200904
232.44,20200907
233.53,20200908
231.33,20200909
237.07,20200910
237.77,20200911
235.0,20200914
236.28,20200915
234.67,20200916
236.68,20200917
234.76,20200918
235.73,20200921
233.05,20200922
235.06,20200923
231.28,20200924
232.45,20200925
233.28,20200928
234.26,20200929
237.6,20200930
234.54,20201001
235.51,20201002
234.76,20201005
234.87,20201006
234.88,20201007
231.01,20201008
231.65,20201009
234.42,20201012
234.81,20201013
230.66,20201014
235.21,20201015
236.65,20201016
238.73,20201019
237.49,20201020
237.6,20201021
239.44,20201022
236.74,20201023
236.63,20201026
236.58,20201027
238.1,20201028
236.35,20201029
237.54,20201030
239.36,20201102
240.35,20201103
239.69,20201104
238.23,20201105
239.02,20201106
238.33,20201109
226.87,20201110
228.36,20201112
229.03,20201113
231.09,20201116
231.09,20201116
229.03,20201117
230.06,20201118
226.93,20201119
226.17,20201120
227.23,20201123
222.54,20201124
217.7,20201125
218.58,20201126
218.41,20201127
215.19,20201130
211.74,20201201
217.55,20201202
217.04,20201203
217.86,20201204
217.83,20201207
221.27,20201208
221.71,20201209
217.05,20201210
216.88,20201211
216.92,20201214
215.16,20201215
217.5,20201216
216.33,20201217
220.39,20201218
219.53,20201221
224.12,20201222
222.82,20201223
222.55,20201224
222.92,20201228
220.86,20201229
221.62,20201230
223.95,20201231
228.1,20210104
231.16,20210105
230.0,20210107
226.28,20210108
221.11,20210111
221.35,20210112
220.15,20210113
221.96,20210114
220.99,20210115
221.54,20210118
222.16,20210119
220.72,20210120
222.66,20210121
223.39,20210122
221.93,20210125
223.29,20210126
223.91,20210127
222.23,20210128
223.89,20210129
224.46,20210201
223.56,20210202
219.91,20210203
220.41,20210204
220.41,20210204
215.38,20210205
217.7,20210208
220.11,20210209
218.69,20210210
219.03,20210211
219.58,20210212
217.17,20210215
215.89,20210216
213.11,20210217
213.47,20210218
211.8,20210219
212.47,20210222
215.79,20210223
214.76,20210224
213.55,20210225
211.39,20210226
208.69,20210301
209.5,20210302
209.29,20210303
206.37,20210304
208.37,20210305
209.4,20210308
209.72,20210309
212.56,20210310
212.0,20210311
212.26,20210312
211.13,20210315
212.97,20210316
214.86,20210317
215.08,20210318
214.77,20210319
216.83,20210322
216.4,20210323
215.04,20210324
217.54,20210325
219.27,20210326
218.86,20210329
217.04,20210330
214.42,20210331
215.72,20210401
218.79,20210402
216.33,20210406
218.6,20210407
215.76,20210408
216.53,20210409
213.89,20210412
212.5,20210413
215.48,20210414
212.4,20210415
214.78,20210416
216.66,20210419
215.74,20210420
215.7,20210421
219.39,20210422
217.76,20210423
216.87,20210426
214.72,20210427
216.97,20210428
216.18,20210429
214.13,20210430
214.51,20210504
219.29,20210505
218.52,20210506
221.92,20210507
223.57,20210510
221.85,20210511
220.62,20210512
220.47,20210513
220.66,20210514
220.88,20210517
222.24,20210518
222.37,20210519
225.19,20210520
223.91,20210521
221.81,20210524
222.43,20210525
221.74,20210526
224.11,20210527
224.57,20210528
224.6,20210531
224.35,20210601
223.46,20210602
219.99,20210604
224.5,20210607
222.54,20210608
223.33,20210609
222.6,20210610
223.58,20210611
222.32,20210614
223.04,20210615
223.98,20210616
223.38,20210617
216.93,20210618
217.77,20210621
218.09,20210622
217.62,20210623
218.18,20210624
218.0,20210625
216.83,20210628
216.15,20210629
213.99,20210630
215.62,20210701
218.52,20210702
219.74,20210705
218.72,20210706
221.24,20210707
221.78,20210708
223.23,20210709
223.15,20210712
221.17,20210713
224.72,20210714
224.72,20210714
228.35,20210715
226.52,20210716
227.61,20210719
227.38,20210720
228.65,20210721
226.17,20210722
224.46,20210723
224.79,20210726
225.24,20210727
225.83,20210728
224.39,20210729
227.11,20210730
225.47,20210802
223.51,20210803
223.3,20210804
225.63,20210805
222.83,20210806
218.33,20210809
217.41,20210810
215.75,20210811
219.46,20210812
219.52,20210813
222.04,20210816
222.43,20210817
223.2,20210818
222.83,20210819
224.76,20210820
224.8,20210823
226.59,20210824
227.25,20210825
223.54,20210826
223.51,20210827
225.37,20210830
223.9,20210831
223.98,20210901
222.74,20210902
221.72,20210903
222.78,20210906
222.81,20210907
220.41,20210908
219.42,20210909
220.14,20210910
221.58,20210913
222.04,20210914
222.16,20210915
222.27,20210916
218.32,20210917
219.53,20210920
221.98,20210921
224.42,20210922
225.0,20210923
220.85,20210924
220.53,20210927
221.67,20210928
220.43,20210929
221.64,20210930
223.7,20211001
224.14,20211004
222.07,20211005
223.72,20211006
226.27,20211007
222.83,20211008
226.76,20211011
225.26,20211012
225.45,20211013
227.56,20211014
227.87,20211015
224.61,20211018
224.35,20211019
224.33,20211020
225.37,20211021
225.69,20211022
230.09,20211025
229.27,20211026
228.15,20211027
229.81,20211028
231.56,20211029
228.74,20211102
228.97,20211103
224.99,20211104
229.89,20211105
231.2,20211108
232.88,20211109
232.78,20211110
237.35,20211112
242.62,20211115
242.17,20211116
245.46,20211117
247.06,20211118
245.9,20211119
248.08,20211122
244.39,20211123
240.97,20211124
239.31,20211125
239.16,20211126
241.76,20211129
239.02,20211130
239.08,20211201
236.17,20211202
230.55,20211203
231.03,20211206
232.3,20211207
233.59,20211208
233.47,20211209
233.22,20211210
233.96,20211213
235.69,20211214
234.74,20211215
233.12,20211216
236.34,20211217
237.61,20211220
237.83,20211221
237.83,20211221
236.08,20211222
236.23,20211223
237.67,20211224
236.72,20211227
237.32,20211228
235.76,20211229
235.25,20211230
235.9,20211231
235.72,20220103
236.56,20220104
235.69,20220105
232.4,20220107
232.13,20220110
231.13,20220111
232.98,20220112
233.53,20220113
230.98,20220114
232.08,20220117
231.27,20220118
232.17,20220119
234.55,20220120
236.33,20220121
236.04,20220124
235.85,20220125
241.08,20220126
240.16,20220127
237.18,20220128
235.98,20220131
237.5,20220201
235.47,20220202
233.6,20220203
232.1,20220204
230.09,20220207
232.49,20220208
232.6,20220209
232.32,20220210
231.43,20220211
233.51,20220214
242.63,20220215
236.17,20220216
236.39,20220217
241.61,20220218
242.29,20220221
242.23,20220222
245.09,20220223
244.57,20220224
256.97,20220225
252.6,20220228
257.67,20220301
260.71,20220302
268.47,20220303
268.37,20220304
274.61,20220307
291.2,20220308
295.77,20220309
282.32,20220310
279.11,20220311
279.11,20220311
277.98,20220314
271.56,20220315
264.53,20220316
263.44,20220317
265.78,20220318
265.81,20220321
264.04,20220322
263.07,20220323
265.66,20220324
273.63,20220325
270.91,20220328
266.46,20220329
263.55,20220330
259.22,20220331
261.01,20220401
260.39,20220404
261.11,20220405
263.96,20220406
264.41,20220407
265.46,20220408
266.55,20220411
267.18,20220412
270.61,20220413
272.45,20220414
268.77,20220415
270.56,20220419
270.83,20220420
267.69,20220421
266.18,20220422
268.0,20220425
263.14,20220426
266.2,20220427
269.52,20220428
270.89,20220429
270.82,20220502
267.21,20220504
266.38,20220505
267.8,20220506
269.33,20220509
267.94,20220510
264.1,20220511
263.11,20220512
264.96,20220513
261.2,20220516
260.56,20220517
260.42,20220518
257.75,20220519
262.25,20220520
258.48,20220523
258.83,20220524
258.56,20220525
255.79,20220526
256.63,20220527
255.82,20220530
255.82,20220530
254.17,20220531
252.15,20220601
253.99,20220602
254.67,20220603
253.23,20220606
253.45,20220607
255.33,20220608
255.58,20220609
253.63,20220610
255.15,20220613
260.21,20220614
260.02,20220615
261.04,20220617
264.25,20220620
262.18,20220621
259.86,20220622
262.57,20220623
265.79,20220624
262.09,20220627
260.53,20220628
259.52,20220629
260.25,20220630
261.87,20220701
260.67,20220704
261.82,20220705
261.76,20220706
263.93,20220707
264.3,20220708
265.01,20220711
265.25,20220712
268.65,20220713
267.39,20220714
263.96,20220715
263.09,20220718
260.61,20220719
256.64,20220720
255.7,20220721
255.91,20220722
262.05,20220725
255.14,20220726
255.61,20220727
259.8,20220728
264.72,20220729
261.36,20220801
263.76,20220802
263.12,20220803
261.43,20220804
265.67,20220805
262.38,20220808
264.58,20220809
265.04,20220810
266.11,20220811
261.16,20220812
259.66,20220816
264.09,20220817
262.05,20220818
262.05,20220818
263.75,20220819
264.91,20220822
264.31,20220823
269.69,20220824
269.54,20220825
268.06,20220826
267.23,20220829
269.23,20220830
262.63,20220831
261.29,20220901
255.79,20220902
260.3,20220905
262.34,20220906
259.29,20220907
260.47,20220908
259.78,20220909
256.71,20220912
256.59,20220913
254.12,20220914
258.74,20220915
256.35,20220916
253.6,20220919
252.91,20220920
252.08,20220921
257.56,20220922
259.84,20220923
257.84,20220926
259.51,20220927
259.95,20220928
267.62,20220929
267.74,20220930
266.24,20221003
263.95,20221004
268.01,20221005
264.49,20221006
269.98,20221007
270.4,20221010
270.79,20221011
268.52,20221012
268.63,20221013
264.45,20221014
262.86,20221017
265.04,20221018
260.06,20221019
256.49,20221020
257.77,20221021
258.87,20221024
258.04,20221025
258.74,20221026
254.76,20221027
251.94,20221028
251.58,20221031
250.43,20221102
251.86,20221103
252.9,20221104
258.25,20221107
253.31,20221108
253.08,20221109
258.2,20221110
267.73,20221114
258.09,20221115
257.09,20221116
256.79,20221117
256.62,20221118
255.34,20221121
257.37,20221122
256.91,20221123
254.46,20221124
254.55,20221125
254.07,20221128
251.7,20221129
254.5,20221130
254.08,20221201
260.35,20221202
255.3,20221205
253.74,20221206
255.42,20221207
256.9,20221208
257.64,20221209
256.13,20221212
255.17,20221213
261.06,20221214
255.62,20221215
252.87,20221216
254.88,20221219
254.23,20221220
256.61,20221221
256.83,20221222
253.13,20221223
252.98,20221227
252.81,20221228
255.85,20221229
257.02,20221230
256.67,20230102
255.46,20230103
262.95,20230104
262.71,20230105
261.84,20230109
265.86,20230110
264.07,20230111
262.71,20230112
263.64,20230113
265.34,20230116
267.7,20230117
267.03,20230118
267.51,20230119
268.16,20230120
269.35,20230123
266.2,20230124
267.63,20230125
267.63,20230125
268.59,20230126
269.36,20230127
267.43,20230130
267.59,20230131
268.97,20230201
267.83,20230202
264.44,20230203
258.81,20230206
264.01,20230207
266.61,20230208
265.37,20230209
265.87,20230210
266.45,20230213
267.66,20230214
266.42,20230215
261.26,20230216
262.25,20230217
264.66,20230220
264.15,20230221
262.96,20230222
263.74,20230223
263.45,20230224
259.84,20230227
261.34,20230228
260.89,20230301
261.04,20230302
259.79,20230303
262.5,20230306
263.3,20230307
258.3,20230308
260.62,20230309
261.17,20230310
264.89,20230313
269.8,20230314
268.58,20230315
272.28,20230316
273.54,20230317
278.83,20230320
279.43,20230321
274.44,20230322
272.41,20230323
273.51,20230324
280.39,20230327
272.29,20230328
273.27,20230329
273.23,20230330
272.03,20230331
273.27,20230403
275.24,20230404
276.89,20230405
279.04,20230406
276.96,20230407
276.31,20230411
276.34,20230412
275.8,20230413
278.09,20230414
272.98,20230417
271.15,20230418
270.95,20230419
270.36,20230420
271.18,20230421
266.53,20230424
266.52,20230425
266.14,20230426
267.63,20230427
265.2,20230428
266.13,20230502
270.85,20230504
273.13,20230505
267.69,20230508
266.22,20230509
271.58,20230510
272.03,20230511
268.4,20230512
270.4,20230515
269.44,20230516
266.09,20230517
263.47,20230518
264.28,20230519
265.23,20230522
265.32,20230523
263.58,20230524
263.28,20230525
263.05,20230526
264.02,20230529
264.51,20230530
265.15,20230531
268.8,20230601
269.15,20230602
264.49,20230605
264.18,20230606
264.08,20230607
264.81,20230609
261.86,20230612
258.5,20230613
260.4,20230614
260.28,20230615
258.63,20230616
256.55,20230619
255.19,20230620
251.88,20230621
251.65,20230622
248.96,20230623
253.82,20230626
251.42,20230627
249.73,20230628
249.85,20230629
249.36,20230630
252.47,20230703
252.47,20230704
252.47,20230704
251.86,20230705
252.9,20230706
252.79,20230707
254.55,20230710
251.19,20230711
251.05,20230712
253.38,20230713
250.06,20230714
248.83,20230717
248.31,20230718
250.51,20230719
251.58,20230720
252.28,20230721
252.06,20230724
253.4,20230725
252.38,20230726
252.56,20230727
248.3,20230728
253.69,20230731
253.41,20230801
252.04,20230802
253.15,20230803
253.96,20230804
253.67,20230807
250.6,20230808
250.21,20230809
250.94,20230810
250.26,20230811
249.45,20230814
248.05,20230816
249.97,20230817
250.55,20230818
251.34,20230821
249.87,20230822
249.02,20230823
255.34,20230824
253.79,20230825
255.06,20230828
254.94,20230829
256.52,20230830
257.79,20230831
256.51,20230901
257.44,20230904
257.55,20230905
257.9,20230906
258.91,20230907
264.55,20230908
266.25,20230911
266.6,20230912
268.21,20230913
265.96,20230914
263.64,20230915
269.1,20230918
268.94,20230919
270.44,20230920
271.79,20230921
267.0,20230922
